223,15 ,2,21-Jun-2019 16:24:45.620624,Booster
224,15 ,2,21-Jun-2019 16:24:45.690624,Booster
225,15 ,2,21-Jun-2019 16:24:45.760624,Booster
226,2A ,9,21-Jun-2019 16:24:45.760624,MI
227,AE ,2,21-Jun-2019 16:24:45.760624,NuMI
228,1D ,4,21-Jun-2019 16:24:45.820624,Booster
229,93 ,1,21-Jun-2019 16:24:45.820624,Accumulator
230,E9 ,20,21-Jun-2019 16:24:45.820624,Recycler
231,1C ,2,21-Jun-2019 16:24:45.890624,Booster
232,1C ,2,21-Jun-2019 16:24:45.960624,Booster
233,1D ,4,21-Jun-2019 16:24:46.020624,Booster
234,1D ,4,21-Jun-2019 16:24:46.090624,Booster
235,94 ,1,21-Jun-2019 16:24:46.090624,Accumulator
236,E9 ,20,21-Jun-2019 16:24:46.090624,Recycler
237,1C ,2,21-Jun-2019 16:24:46.160624,Booster
238,1C ,2,21-Jun-2019 16:24:46.220624,Booster
239,1D ,4,21-Jun-2019 16:24:46.290624,Booster
240,1D ,4,21-Jun-2019 16:24:46.360624,Booster
241,E3 ,6,21-Jun-2019 16:24:46.360624,Recycler
242,A5 ,2,21-Jun-2019 16:24:46.360624,NuMI
243,15 ,2,21-Jun-2019 16:24:46.420624,Booster
244,15 ,2,21-Jun-2019 16:24:46.490624,Booster
245,15 ,2,21-Jun-2019 16:24:46.560624,Booster
246,15 ,2,21-Jun-2019 16:24:46.620624,Booster
247,15 ,2,21-Jun-2019 16:24:46.690624,Booster
248,15 ,2,21-Jun-2019 16:24:46.760624,Booster
249,15 ,2,21-Jun-2019 16:24:46.820624,Booster
250,15 ,2,21-Jun-2019 16:24:46.890624,Booster
251,15 ,2,21-Jun-2019 16:24:46.960624,Booster
252,15 ,2,21-Jun-2019 16:24:47.020624,Booster
253,15 ,2,21-Jun-2019 16:24:47.090624,Booster
254,15 ,2,21-Jun-2019 16:24:47.160624,Booster
255,2A ,9,21-Jun-2019 16:24:47.160624,MI
256,AE ,2,21-Jun-2019 16:24:47.160624,NuMI
257,1D ,4,21-Jun-2019 16:24:47.220624,Booster
258,93 ,1,21-Jun-2019 16:24:47.220624,Accumulator
259,E9 ,20,21-Jun-2019 16:24:47.220624,Recycler
260,1C ,2,21-Jun-2019 16:24:47.290624,Booster
261,1C ,2,21-Jun-2019 16:24:47.360624,Booster
262,1D ,4,21-Jun-2019 16:24:47.420624,Booster
263,1D ,4,21-Jun-2019 16:24:47.490624,Booster
264,94 ,1,21-Jun-2019 16:24:47.490624,Accumulator
265,E9 ,20,21-Jun-2019 16:24:47.490624,Recycler
266,1C ,2,21-Jun-2019 16:24:47.560624,Booster
267,1C ,2,21-Jun-2019 16:24:47.620624,Booster
268,1D ,4,21-Jun-2019 16:24:47.690624,Booster
269,1D ,4,21-Jun-2019 16:24:47.760624,Booster
270,E3 ,6,21-Jun-2019 16:24:47.760624,Recycler
271,A5 ,2,21-Jun-2019 16:24:47.760624,NuMI
272,15 ,2,21-Jun-2019 16:24:47.820624,Booster
273,15 ,2,21-Jun-2019 16:24:47.890624,Booster
274,15 ,2,21-Jun-2019 16:24:47.960624,Booster
275,15 ,2,21-Jun-2019 16:24:48.020624,Booster
276,15 ,2,21-Jun-2019 16:24:48.090624,Booster
277,15 ,2,21-Jun-2019 16:24:48.160624,Booster
278,15 ,2,21-Jun-2019 16:24:48.220624,Booster
279,15 ,2,21-Jun-2019 16:24:48.290624,Booster
280,15 ,2,21-Jun-2019 16:24:48.360624,Booster
281,15 ,2,21-Jun-2019 16:24:48.420624,Booster
282,15 ,2,21-Jun-2019 16:24:48.490624,Booster
283,15 ,2,21-Jun-2019 16:24:48.560624,Booster
284,2A ,9,21-Jun-2019 16:24:48.560624,MI
285,AE ,2,21-Jun-2019 16:24:48.560624,NuMI
286,1D ,4,21-Jun-2019 16:24:48.620624,Booster
287,93 ,1,21-Jun-2019 16:24:48.620624,Accumulator
288,E9 ,20,21-Jun-2019 16:24:48.620624,Recycler
289,1C ,2,21-Jun-2019 16:24:48.690624,Booster
290,1C ,2,21-Jun-2019 16:24:48.760624,Booster
291,1D ,4,21-Jun-2019 16:24:48.820624,Booster
292,1D ,4,21-Jun-2019 16:24:48.890624,Booster
293,94 ,1,21-Jun-2019 16:24:48.890624,Accumulator
294,E9 ,20,21-Jun-2019 16:24:48.890624,Recycler
295,1C ,2,21-Jun-2019 16:24:48.960624,Booster
296,1C ,2,21-Jun-2019 16:24:49.020624,Booster
297,1D ,4,21-Jun-2019 16:24:49.090624,Booster
298,1D ,4,21-Jun-2019 16:24:49.160624,Booster
299,E3 ,6,21-Jun-2019 16:24:49.160624,Recycler
300,A5 ,2,21-Jun-2019 16:24:49.160624,NuMI
301,15 ,2,21-Jun-2019 16:24:49.220624,Booster
302,15 ,2,21-Jun-2019 16:24:49.290624,Booster
303,15 ,2,21-Jun-2019 16:24:49.360624,Booster
304,15 ,2,21-Jun-2019 16:24:49.420624,Booster
305,15 ,2,21-Jun-2019 16:24:49.490624,Booster
306,15 ,2,21-Jun-2019 16:24:49.560624,Booster
307,15 ,2,21-Jun-2019 16:24:49.620624,Booster
308,15 ,2,21-Jun-2019 16:24:49.690624,Booster
309,15 ,2,21-Jun-2019 16:24:49.760624,Booster
310,15 ,2,21-Jun-2019 16:24:49.820624,Booster
311,15 ,2,21-Jun-2019 16:24:49.890624,Booster
312,15 ,2,21-Jun-2019 16:24:49.960624,Booster
313,2A ,9,21-Jun-2019 16:24:49.960624,MI
314,AE ,2,21-Jun-2019 16:24:49.960624,NuMI
315,1D ,4,21-Jun-2019 16:24:50.020624,Booster
316,93 ,1,21-Jun-2019 16:24:50.020624,Accumulator
317,E9 ,20,21-Jun-2019 16:24:50.020624,Recycler
318,1C ,2,21-Jun-2019 16:24:50.090624,Booster
319,1C ,2,21-Jun-2019 16:24:50.160624,Booster
320,1D ,4,21-Jun-2019 16:24:50.220624,Booster
321,1D ,4,21-Jun-2019 16:24:50.290624,Booster
322,94 ,1,21-Jun-2019 16:24:50.290624,Accumulator
323,E9 ,20,21-Jun-2019 16:24:50.290624,Recycler
324,1C ,2,21-Jun-2019 16:24:50.360624,Booster
325,1C ,2,21-Jun-2019 16:24:50.420624,Booster
326,1D ,4,21-Jun-2019 16:24:50.490624,Booster
327,1D ,4,21-Jun-2019 16:24:50.560624,Booster
328,E3 ,6,21-Jun-2019 16:24:50.560624,Recycler
329,A5 ,2,21-Jun-2019 16:24:50.560624,NuMI
330,15 ,2,21-Jun-2019 16:24:50.620624,Booster
331,15 ,2,21-Jun-2019 16:24:50.690624,Booster
332,15 ,2,21-Jun-2019 16:24:50.760624,Booster
333,15 ,2,21-Jun-2019 16:24:50.820624,Booster
334,15 ,2,21-Jun-2019 16:24:50.890624,Booster
335,15 ,2,21-Jun-2019 16:24:50.960624,Booster
336,15 ,2,21-Jun-2019 16:24:51.020624,Booster
337,15 ,2,21-Jun-2019 16:24:51.090624,Booster
338,15 ,2,21-Jun-2019 16:24:51.160624,Booster
339,15 ,2,21-Jun-2019 16:24:51.220624,Booster
340,15 ,2,21-Jun-2019 16:24:51.290624,Booster
341,15 ,2,21-Jun-2019 16:24:51.360624,Booster
342,2A ,9,21-Jun-2019 16:24:51.360624,MI
343,AE ,2,21-Jun-2019 16:24:51.360624,NuMI
344,1D ,4,21-Jun-2019 16:24:51.420624,Booster
345,93 ,1,21-Jun-2019 16:24:51.420624,Accumulator
346,E9 ,20,21-Jun-2019 16:24:51.420624,Recycler
347,1C ,2,21-Jun-2019 16:24:51.490624,Booster
348,1C ,2,21-Jun-2019 16:24:51.560624,Booster
349,1D ,4,21-Jun-2019 16:24:51.620624,Booster
350,1D ,4,21-Jun-2019 16:24:51.690624,Booster
351,94 ,1,21-Jun-2019 16:24:51.690624,Accumulator
352,E9 ,20,21-Jun-2019 16:24:51.690624,Recycler
353,1C ,2,21-Jun-2019 16:24:51.760624,Booster
354,1C ,2,21-Jun-2019 16:24:51.820624,Booster
355,1D ,4,21-Jun-2019 16:24:51.890624,Booster
